epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5134,1.57911,2.55205,1.17716,0.00352,0.29321,0.11847,0.06828,1.50544,3.39968,1.15099,0.00014,0.00014,0.08614
2,29.5249,1.52042,1.49284,1.17875,0.01734,0.25926,0.17593,0.10372,1.37538,3.6276,1.05439,0.000284258,0.000284258,0.0712843
3,35.8973,1.4397,1.31336,1.14139,0.13269,0.25309,0.22138,0.13141,1.32177,3.57105,1.02831,0.000422576,0.000422576,0.0564226
4,43.6541,1.44161,1.22989,1.12954,0.40678,0.3642,0.31669,0.1877,1.35034,3.15741,1.04376,0.000554954,0.000554954,0.041555
5,50.5758,1.39774,1.1882,1.11228,0.20469,0.53472,0.43097,0.26259,1.27146,2.53114,1.05082,0.000681392,0.000681392,0.0266814
6,57.7357,1.36473,1.13535,1.14104,0.41879,0.68981,0.58009,0.33793,1.28953,1.98511,1.08119,0.00080189,0.00080189,0.0118019
7,64.5998,1.35716,1.10749,1.10587,0.91667,0.36293,0.56343,0.32905,1.26512,1.66141,1.021,0.0008812,0.0008812,0.0008812
8,71.8988,1.33482,1.08697,1.09884,0.88702,0.39198,0.54215,0.31755,1.28425,1.49924,1.04152,0.0008614,0.0008614,0.0008614
9,78.6721,1.31666,1.07347,1.09599,0.53802,0.50492,0.53737,0.33659,1.26827,1.20659,1.03958,0.0008416,0.0008416,0.0008416
10,85.5714,1.28335,1.01612,1.08681,0.71288,0.66821,0.66976,0.38205,1.18915,0.95038,1.0055,0.0008218,0.0008218,0.0008218
11,92.6639,1.30039,1.04429,1.0838,0.63534,0.68596,0.66744,0.40799,1.19427,0.94434,1.00606,0.000802,0.000802,0.000802
12,99.6827,1.28244,0.99013,1.07953,0.58071,0.68673,0.66244,0.38477,1.16874,0.87407,1.00367,0.0007822,0.0007822,0.0007822
13,106.648,1.21747,0.96294,1.05882,0.86361,0.56474,0.66143,0.41165,1.16598,0.85722,1.00437,0.0007624,0.0007624,0.0007624
14,113.547,1.26905,0.99277,1.06993,0.66712,0.58732,0.65729,0.41746,1.17877,0.87076,1.01783,0.0007426,0.0007426,0.0007426
15,120.712,1.22974,0.97292,1.06446,0.77021,0.58605,0.68408,0.43373,1.14963,0.83108,1.00651,0.0007228,0.0007228,0.0007228
16,127.096,1.19542,0.9155,1.05451,0.89602,0.58732,0.68303,0.42832,1.19634,0.86089,1.02901,0.000703,0.000703,0.000703
17,134.34,1.20575,0.95456,1.07375,0.77951,0.63927,0.67008,0.41686,1.15673,0.83082,1.02552,0.0006832,0.0006832,0.0006832
18,141.143,1.23282,0.94702,1.07976,0.77809,0.5681,0.69323,0.43297,1.16745,0.8509,1.0129,0.0006634,0.0006634,0.0006634
19,148.38,1.17868,0.90447,1.05405,0.62308,0.6142,0.70096,0.46279,1.1126,0.8381,0.9848,0.0006436,0.0006436,0.0006436
20,154.992,1.19201,0.90065,1.02723,0.82271,0.65159,0.70362,0.46308,1.11573,0.80811,0.99928,0.0006238,0.0006238,0.0006238
21,161.613,1.20394,0.91865,1.05811,0.77565,0.64583,0.78913,0.4615,1.13399,0.79907,1.01531,0.000604,0.000604,0.000604
22,168.304,1.16871,0.89896,1.04756,0.72434,0.75221,0.80103,0.49942,1.10565,0.7955,1.00029,0.0005842,0.0005842,0.0005842
23,175.912,1.1434,0.86014,1.03561,0.8087,0.61671,0.80088,0.50906,1.10134,0.77016,1.00082,0.0005644,0.0005644,0.0005644
24,181.801,1.13893,0.839,1.01988,0.80773,0.84954,0.83474,0.45979,1.17067,0.77762,1.02982,0.0005446,0.0005446,0.0005446
25,188.895,1.13909,0.84094,1.032,0.75457,0.82154,0.80688,0.45233,1.10035,0.73571,1.01464,0.0005248,0.0005248,0.0005248
26,195.625,1.12647,0.84953,1.01643,0.84602,0.83672,0.83322,0.4608,1.15466,0.76486,1.02428,0.000505,0.000505,0.000505
27,203.062,1.16323,0.85953,1.03751,0.8892,0.84336,0.88765,0.53667,1.0921,0.73231,0.99934,0.0004852,0.0004852,0.0004852
28,209.849,1.11896,0.82178,1.02107,0.7963,0.82654,0.84609,0.5632,1.08027,0.756,1.00259,0.0004654,0.0004654,0.0004654
29,216.453,1.09145,0.81576,1.00507,0.80904,0.81096,0.84698,0.49337,1.10535,0.74191,1.01475,0.0004456,0.0004456,0.0004456
30,223.43,1.13364,0.84003,1.01879,0.76168,0.83719,0.81966,0.51618,1.11214,0.73132,1.02047,0.0004258,0.0004258,0.0004258
31,230.206,1.14021,0.82594,1.01301,0.86257,0.81613,0.85915,0.5577,1.12322,0.75248,1.03166,0.000406,0.000406,0.000406
32,236.839,1.07892,0.79712,1.01017,0.88308,0.84191,0.87135,0.58413,1.08141,0.72171,1.01281,0.0003862,0.0003862,0.0003862
33,243.915,1.08759,0.79166,1.013,0.90586,0.825,0.8711,0.54613,1.05399,0.70052,0.9907,0.0003664,0.0003664,0.0003664
34,250.834,1.09257,0.78929,1.01093,0.90471,0.78736,0.88096,0.57525,1.07025,0.70669,0.98687,0.0003466,0.0003466,0.0003466
35,257.517,1.08163,0.7863,0.99765,0.88747,0.75656,0.87753,0.55547,1.07051,0.68751,0.9942,0.0003268,0.0003268,0.0003268
36,264.668,1.08091,0.78873,0.99575,0.81444,0.84028,0.86433,0.56408,1.06651,0.69814,0.98516,0.000307,0.000307,0.000307
37,271.352,1.04238,0.76118,0.99114,0.865,0.77891,0.86512,0.56175,1.08621,0.69392,0.98047,0.0002872,0.0002872,0.0002872
38,278.596,1.04837,0.75727,0.98626,0.80037,0.8217,0.865,0.57309,1.06022,0.68749,0.96917,0.0002674,0.0002674,0.0002674
39,284.837,1.05625,0.75528,0.98772,0.90013,0.82803,0.88649,0.60014,1.04374,0.66815,0.96723,0.0002476,0.0002476,0.0002476
